Employee,Department,Location,Sex, Salary ,Date Hired,Exempt
Loretta Alvarez,Marketing,California,Female,"$20,244.00 ",8/26/2009,FALSE
Jesus Gascon,Marketing,Washington,Male,"$44,855.00 ",9/22/2009,FALSE
Diane Delgado,Marketing,Pennsylvania,Female,"$24,807.00 ",10/3/2009,FALSE
Sandra Clarke,Marketing,Pennsylvania,Female,"$43,873.00 ",10/14/2009,FALSE
Amy Majors,Marketing,Massachusetts,Female,"$67,491.00 ",10/29/2009,TRUE
Beverly B. Gray,Marketing,New York,Female,"$52,738.00 ",12/2/2009,FALSE
Carl Dexter,Marketing,New York,Male,"$52,910.00 ",12/19/2009,FALSE
Howard Keach,Marketing,California,Male,"$78,556.00 ",12/19/2009,TRUE
Charles Seeley,Marketing,Massachusetts,Male,"$34,523.00 ",1/4/2010,FALSE
Bob Hunsberger,Marketing,Pennsylvania,Male,"$24,382.00 ",1/13/2010,FALSE
Beverly Soares,Marketing,Massachusetts,Female,"$43,522.00 ",1/16/2010,FALSE
Sarah Parks,Marketing,New York,Female,"$46,474.00 ",1/26/2010,FALSE
Cristobal Lopez,Marketing,Pennsylvania,Male,"$46,825.00 ",1/27/2010,FALSE
Susan Sikes,Marketing,California,Female,"$80,268.00 ",3/1/2010,TRUE
Pedro H. Nicholson,Marketing,Arizona,Male,"$60,531.00 ",3/14/2010,TRUE
William N. Campbell,Marketing,New York,Male,"$79,263.00 ",3/25/2010,TRUE
Hosea Pierson,Marketing,New York,Male,"$70,308.00 ",3/28/2010,TRUE
Chase Mcnamara,Marketing,New York,Male,"$23,933.00 ",4/8/2010,FALSE
Gary Lees,Marketing,New York,Male,"$83,623.00 ",4/29/2010,TRUE
Douglas Williams,Marketing,Arizona,Male,"$62,690.00 ",5/7/2010,TRUE
Kelly Dollinger,Marketing,Massachusetts,Female,"$43,409.00 ",5/11/2010,FALSE
Clinton Soto,Marketing,New York,Male,"$46,270.00 ",5/20/2010,FALSE
Clint Suarez,Marketing,California,Male,"$48,868.00 ",5/27/2010,FALSE
Cindy Chow,Marketing,New York,Female,"$83,054.00 ",6/28/2010,TRUE
Linda Carbajal,Marketing,Massachusetts,Female,"$35,725.00 ",7/1/2010,FALSE
Joan Morrison,Marketing,Massachusetts,Female,"$83,972.00 ",7/31/2010,TRUE
Kurt Kamichoff,Marketing,New York,Male,"$66,514.00 ",8/8/2010,TRUE
Kurt Decker,Marketing,Washington,Male,"$77,867.00 ",10/4/2010,TRUE
Cynthia Naskers,Marketing,Pennsylvania,Female,"$46,498.00 ",10/4/2010,FALSE
Christine Poundsworth,Marketing,California,Female,"$46,935.00 ",10/5/2010,FALSE
Arthur Werner,Marketing,California,Male,"$83,619.00 ",10/22/2010,TRUE
Kenneth Williams,Marketing,California,Male,"$69,388.00 ",10/24/2010,TRUE
Joyce Cotton,Marketing,California,Female,"$21,235.00 ",12/6/2010,FALSE
Irving Kim,Marketing,Massachusetts,Male,"$51,647.00 ",12/12/2010,FALSE
Elsie Truong,Marketing,New York,Female,"$47,813.00 ",12/26/2010,FALSE
Anne Boyd,Marketing,New York,Female,"$25,654.00 ",1/2/2011,FALSE
Edward Bryant,Marketing,California,Male,"$28,849.00 ",1/4/2011,FALSE
Carrie Bryan,Marketing,New York,Female,"$33,084.00 ",2/23/2011,FALSE
Miranda Bassett,Marketing,New York,Female,"$52,426.00 ",2/26/2011,FALSE
Matthew Silvia,Marketing,Pennsylvania,Male,"$39,341.00 ",3/3/2011,FALSE
Brian Bass,Marketing,Massachusetts,Male,"$66,145.00 ",3/25/2011,TRUE
Anthony Taylor,Marketing,Pennsylvania,Male,"$64,907.00 ",5/10/2011,TRUE
Sharon Pineda,Marketing,Washington,Female,"$40,153.00 ",5/16/2011,FALSE
Jason Hadlock,Marketing,Washington,Male,"$83,000.00 ",7/31/2011,TRUE
Jan Jones,Marketing,Massachusetts,Male,"$46,304.00 ",8/8/2011,FALSE
Scott Palen,Marketing,California,Male,"$40,576.00 ",8/21/2011,FALSE
Karen Coles,Marketing,California,Female,"$55,231.00 ",8/26/2011,TRUE
Elmer Tompkins,Marketing,Massachusetts,Male,"$23,233.00 ",8/30/2011,FALSE
Roland Pastrana,Marketing,New York,Male,"$69,090.00 ",9/1/2011,TRUE
Margaret Sirois,Marketing,California,Female,"$50,597.00 ",9/7/2011,FALSE
William Patterson,Marketing,New York,Male,"$30,582.00 ",9/15/2011,FALSE
Morgan Houchens,Marketing,Washington,Female,"$54,828.00 ",10/3/2011,FALSE
Stephen Foster,Marketing,New York,Male,"$82,545.00 ",10/9/2011,TRUE
Austin Stone,Marketing,California,Male,"$81,891.00 ",12/6/2011,TRUE
Filomena Jordan,Marketing,Massachusetts,Female,"$48,789.00 ",12/14/2011,FALSE
Elmer Clifton,Marketing,Arizona,Male,"$48,509.00 ",12/16/2011,FALSE
Larry Kiel,Marketing,Massachusetts,Male,"$41,984.00 ",12/19/2011,FALSE
Heather Lichtenstein,Marketing,Washington,Female,"$22,363.00 ",1/17/2012,FALSE
John Vaughan,Marketing,Washington,Male,"$64,535.00 ",2/9/2012,TRUE
Lupe Spicer,Marketing,New York,Female,"$39,463.00 ",2/9/2012,FALSE
Elizabeth Cole,Marketing,Washington,Female,"$50,111.00 ",3/15/2012,FALSE
Jennifer Brown,Marketing,New York,Female,"$43,132.00 ",4/11/2012,FALSE
Thomas E. Abbott,Marketing,California,Male,"$39,854.00 ",4/25/2012,FALSE
Jonathan J. Conte,Marketing,Massachusetts,Male,"$30,437.00 ",5/12/2012,FALSE
Kenny H. Mcqueen,Marketing,California,Male,"$65,177.00 ",5/14/2012,TRUE
Robert H. Miller,Marketing,Massachusetts,Male,"$33,598.00 ",5/27/2012,FALSE
Madge Jackson,Marketing,New York,Female,"$26,589.00 ",5/30/2012,FALSE
Jaime Williamson,Marketing,Washington,Male,"$23,619.00 ",6/27/2012,FALSE
Terry Rasmussen,Marketing,California,Male,"$44,022.00 ",7/7/2012,FALSE
Samuel Mcdonald,Finance,New York,Male,"$41,856.00 ",7/17/2012,FALSE
Joseph Ramos,Finance,Massachusetts,Male,"$52,303.00 ",7/18/2012,FALSE
Frank Austin,Finance,New York,Male,"$46,412.00 ",7/30/2012,FALSE
Mary Brinkmann,Finance,New York,Female,"$45,452.00 ",7/30/2012,FALSE
